Product_ID,Country,Category,Item_Name,Price_Local,Currency,Technical_Specs,Internal_Notes
NI-A-0000,Nigeria,Kitchen Appliances,Smart Kettle Pro,69028.1,NGN,"1.7L, 3000W, boil-dry protection, LED display",Nordic Wholesale | Promo margin 12% | Backorder until 02/15
KE-B-0001,Kenya,Kitchen Appliances,Coffee Maker Drip,4663.29,KES,"12-cup, programmable, thermal carafe",Acme Electronics Ltd | Promo margin 12% | Backorder until 02/15
NI-C-0002,Nigeria,Home Appliances,Electric Fan Tower,80216.49,NGN,"Oscillating, 3 speeds, remote, timer",Bulk discount applies 15% | Pacific Imports Inc | Fulfilled from NL depot
FR-D-0003,France,Audio,Bluetooth Speaker,49.44,EUR,"20W, waterproof IPX7, 15h playback",Bulk discount applies 15% | Acme Electronics Ltd | Low stock alert
FR-E-0004,France,Home Appliances,Electric Fan Tower,54.73,EUR,"Oscillating, 3 speeds, remote, timer",Acme Electronics Ltd | Margin 22% | Warehouse A-12
NE-F-0005,Netherlands,Solar & Power,Solar Inverter TS-9000-X,1086.75,EUR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Nordic Wholesale | Stock in WH3 Berlin | Promo margin 12%
US-G-0006,United States,Audio,Bluetooth Speaker,48.65,USD,"20W, waterproof IPX7, 15h playback",Fulfilled from NL depot | Promo margin 12% | EuroTech Suppliers
GE-H-0007,Germany,Audio,Bluetooth Speaker,49.17,EUR,"20W, waterproof IPX7, 15h playback",Fulfilled from NL depot | Bulk discount applies 15% | Africa Direct Trading
CD-I-0008,Côte d'Ivoire,Computing,"Tablet 10""",132969.11,XOF,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Target margin 18% | Fulfilled from NL depot | Global Sourcing Co
UK-J-0009,United Kingdom,Solar & Power,Solar Inverter TS-9000-X,987.11,GBP,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Warehouse A-12 | EuroTech Suppliers | Promo margin 12%
GE-K-0010,Germany,Home Appliances,Electric Fan Tower,45.64,EUR,"Oscillating, 3 speeds, remote, timer",Promo margin 12% | Backorder until 02/15 | Pacific Imports Inc
US-L-0011,United States,Audio,Bluetooth Speaker,51.3,USD,"20W, waterproof IPX7, 15h playback",Low stock alert | Pacific Imports Inc | Target margin 18%
KE-M-0012,Kenya,Power & Batteries,Portable Power Bank 20K,3205.0,KES,"20000mAh, dual USB, 18W PD",VIP margin 25% | Warehouse A-12 | EuroTech Suppliers
GE-N-0013,Germany,Computing,"Tablet 10""",207.01,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",VIP margin 25% | Africa Direct Trading | Fulfilled from NL depot
UK-O-0014,United Kingdom,Power & Batteries,Portable Power Bank 20K,21.73,GBP,"20000mAh, dual USB, 18W PD",Low stock alert | Bulk discount applies 15% | EuroTech Suppliers
CD-P-0015,Côte d'Ivoire,TV & Display,LED TV 55 inch,292009.99,XOF,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Fulfilled from NL depot | Promo margin 12% | Global Sourcing Co
GE-Q-0016,Germany,Home Appliances,Air Purifier Compact,96.89,EUR,"HEPA H13, 3 speeds, 25m² coverage",Warehouse A-12 | EuroTech Suppliers | VIP margin 25%
KE-R-0017,Kenya,Kitchen Appliances,Coffee Maker Drip,5480.04,KES,"12-cup, programmable, thermal carafe",Margin 22% | Africa Direct Trading | Fulfilled from NL depot
CD-S-0018,Côte d'Ivoire,Audio,Bluetooth Speaker,30693.72,XOF,"20W, waterproof IPX7, 15h playback",Nordic Wholesale | Stock in WH3 Berlin | Margin 22%
KE-T-0019,Kenya,Home Appliances,Electric Fan Tower,7469.3,KES,"Oscillating, 3 speeds, remote, timer",Africa Direct Trading | Margin 22% | Warehouse A-12
SA-U-0020,South Africa,Home Appliances,Electric Fan Tower,1049.15,ZAR,"Oscillating, 3 speeds, remote, timer",Target margin 18% | Low stock alert | EuroTech Suppliers
SA-V-0021,South Africa,Audio,Bluetooth Speaker,975.97,ZAR,"20W, waterproof IPX7, 15h playback",Target margin 18% | Warehouse A-12 | Pacific Imports Inc
US-W-0022,United States,Home Appliances,Electric Fan Tower,55.69,USD,"Oscillating, 3 speeds, remote, timer",Margin 22% | Pacific Imports Inc | Fulfilled from NL depot
CD-X-0023,Côte d'Ivoire,Solar & Power,Solar Inverter TS-9000-X,787616.63,XOF,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",VIP margin 25% | Stock in WH3 Berlin | Pacific Imports Inc
NI-Y-0024,Nigeria,Audio,Bluetooth Speaker,73576.91,NGN,"20W, waterproof IPX7, 15h playback",Low stock alert | Promo margin 12% | Nordic Wholesale
UK-Z-0025,United Kingdom,Lighting,LED Desk Lamp,24.78,GBP,"Dimmable, USB port, 5 brightness levels",Africa Direct Trading | Low stock alert | Promo margin 12%
UK-A-0026,United Kingdom,Wearables,Fitness Tracker Band,24.03,GBP,"Steps, sleep, HR, 14-day battery",EuroTech Suppliers | Stock in WH3 Berlin | Target margin 18%
UK-B-0027,United Kingdom,Home Appliances,Air Purifier Compact,73.37,GBP,"HEPA H13, 3 speeds, 25m² coverage",Margin 22% | Backorder until 02/15 | Nordic Wholesale
CD-C-0028,Côte d'Ivoire,Wearables,Smart Watch Sport,59799.12,XOF,"GPS, heart rate, 5ATM, 7-day battery",Global Sourcing Co | Fulfilled from NL depot | Bulk discount applies 15%
GH-D-0029,Ghana,Audio,Wireless Bluetooth Earbuds,488.13,GHS,"ANC, 24h battery, IPX5, USB-C",VIP margin 25% | Nordic Wholesale | Fulfilled from NL depot
KE-E-0030,Kenya,Audio,Bluetooth Speaker,6571.41,KES,"20W, waterproof IPX7, 15h playback",VIP margin 25% | Stock in WH3 Berlin | Pacific Imports Inc
GE-F-0031,Germany,Computing,Mechanical Keyboard,71.57,EUR,"Cherry MX, RGB, wired, UK layout",Low stock alert | Nordic Wholesale | VIP margin 25%
GE-G-0032,Germany,Computing,Webcam HD Pro,57.26,EUR,"1080p 60fps, built-in mic, auto-focus",Global Sourcing Co | VIP margin 25% | Backorder until 02/15
CD-H-0033,Côte d'Ivoire,Wearables,Fitness Tracker Band,18968.48,XOF,"Steps, sleep, HR, 14-day battery",Global Sourcing Co | Backorder until 02/15 | Bulk discount applies 15%
CD-I-0034,Côte d'Ivoire,Kitchen Appliances,Coffee Maker Drip,22270.89,XOF,"12-cup, programmable, thermal carafe",Promo margin 12% | Low stock alert | Nordic Wholesale
GE-J-0035,Germany,Power & Batteries,Portable Power Bank 20K,23.33,EUR,"20000mAh, dual USB, 18W PD",Warehouse A-12 | Acme Electronics Ltd | Promo margin 12%
NI-K-0036,Nigeria,Kitchen Appliances,Smart Kettle Pro,76772.74,NGN,"1.7L, 3000W, boil-dry protection, LED display",Promo margin 12% | Warehouse A-12 | EuroTech Suppliers
UK-L-0037,United Kingdom,Audio,Bluetooth Speaker,41.16,GBP,"20W, waterproof IPX7, 15h playback",Acme Electronics Ltd | VIP margin 25% | Backorder until 02/15
UK-M-0038,United Kingdom,Computing,"Tablet 10""",180.33,GBP,"128GB, 10.1"" FHD, 4GB RAM, WiFi",EuroTech Suppliers | Promo margin 12% | Backorder until 02/15
CD-N-0039,Côte d'Ivoire,Solar & Power,Solar Inverter TS-9000-X,712595.68,XOF,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",VIP margin 25% | EuroTech Suppliers | Fulfilled from NL depot
FR-O-0040,France,Audio,Bluetooth Speaker,48.12,EUR,"20W, waterproof IPX7, 15h playback",Promo margin 12% | Warehouse A-12 | Nordic Wholesale
CD-P-0041,Côte d'Ivoire,Computing,Mechanical Keyboard,49723.78,XOF,"Cherry MX, RGB, wired, UK layout",Bulk discount applies 15% | Acme Electronics Ltd | Stock in WH3 Berlin
CA-Q-0042,Canada,Lighting,LED Desk Lamp,42.23,CAD,"Dimmable, USB port, 5 brightness levels",Acme Electronics Ltd | Warehouse A-12 | Target margin 18%
UK-R-0043,United Kingdom,Computing,"Tablet 10""",171.13,GBP,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Promo margin 12% | Global Sourcing Co | Low stock alert
GH-S-0044,Ghana,Personal Care,Electric Toothbrush,520.63,GHS,"Sonic, 3 modes, 2-week battery",Bulk discount applies 15% | EuroTech Suppliers | Backorder until 02/15
KE-T-0045,Kenya,Lighting,LED Desk Lamp,3583.07,KES,"Dimmable, USB port, 5 brightness levels",Global Sourcing Co | Stock in WH3 Berlin | Margin 22%
GE-U-0046,Germany,Lighting,LED Desk Lamp,26.26,EUR,"Dimmable, USB port, 5 brightness levels",Margin 22% | Low stock alert | Pacific Imports Inc
NI-V-0047,Nigeria,Audio,Wireless Bluetooth Earbuds,54638.78,NGN,"ANC, 24h battery, IPX5, USB-C",Target margin 18% | EuroTech Suppliers | Fulfilled from NL depot
CA-W-0048,Canada,Solar & Power,Solar Inverter TS-9000-X,1604.34,CAD,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",VIP margin 25% | Low stock alert | Nordic Wholesale
US-X-0049,United States,Solar & Power,Solar Inverter TS-9000-X,1237.0,USD,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Nordic Wholesale | Low stock alert | Promo margin 12%
CA-Y-0050,Canada,Wearables,Fitness Tracker Band,45.34,CAD,"Steps, sleep, HR, 14-day battery",Stock in WH3 Berlin | Target margin 18% | Africa Direct Trading
GH-Z-0051,Ghana,Home Appliances,Electric Fan Tower,622.2,GHS,"Oscillating, 3 speeds, remote, timer",Pacific Imports Inc | Warehouse A-12 | Margin 22%
NI-A-0052,Nigeria,Solar & Power,Solar Inverter TS-9000-X,2038200.76,NGN,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",VIP margin 25% | Warehouse A-12 | EuroTech Suppliers
CA-B-0053,Canada,Wearables,Fitness Tracker Band,39.87,CAD,"Steps, sleep, HR, 14-day battery",Nordic Wholesale | Bulk discount applies 15% | Warehouse A-12
SA-C-0054,South Africa,Home Appliances,Electric Fan Tower,988.88,ZAR,"Oscillating, 3 speeds, remote, timer",Bulk discount applies 15% | Pacific Imports Inc | Stock in WH3 Berlin
CA-D-0055,Canada,Wearables,Fitness Tracker Band,38.33,CAD,"Steps, sleep, HR, 14-day battery",Global Sourcing Co | Warehouse A-12 | Margin 22%
KE-E-0056,Kenya,Wearables,Fitness Tracker Band,3880.23,KES,"Steps, sleep, HR, 14-day battery",Margin 22% | Pacific Imports Inc | Fulfilled from NL depot
GH-F-0057,Ghana,Wearables,Fitness Tracker Band,385.96,GHS,"Steps, sleep, HR, 14-day battery",Stock in WH3 Berlin | Bulk discount applies 15% | Global Sourcing Co
CA-G-0058,Canada,Kitchen Appliances,Coffee Maker Drip,55.77,CAD,"12-cup, programmable, thermal carafe",Stock in WH3 Berlin | Acme Electronics Ltd | Promo margin 12%
GE-H-0059,Germany,Audio,Bluetooth Speaker,44.98,EUR,"20W, waterproof IPX7, 15h playback",Acme Electronics Ltd | Margin 22% | Stock in WH3 Berlin
SA-I-0060,South Africa,Power & Batteries,Portable Power Bank 20K,513.99,ZAR,"20000mAh, dual USB, 18W PD",Warehouse A-12 | Global Sourcing Co | VIP margin 25%
CD-J-0061,Côte d'Ivoire,Lighting,LED Desk Lamp,16863.23,XOF,"Dimmable, USB port, 5 brightness levels",Bulk discount applies 15% | Global Sourcing Co | Fulfilled from NL depot
KE-K-0062,Kenya,TV & Display,LED TV 55 inch,56204.15,KES,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Warehouse A-12 | EuroTech Suppliers | VIP margin 25%
FR-L-0063,France,Audio,Bluetooth Speaker,42.36,EUR,"20W, waterproof IPX7, 15h playback",Fulfilled from NL depot | Promo margin 12% | Global Sourcing Co
US-M-0064,United States,Power & Batteries,Portable Power Bank 20K,25.22,USD,"20000mAh, dual USB, 18W PD",Warehouse A-12 | Pacific Imports Inc | Target margin 18%
KE-N-0065,Kenya,Lighting,LED Desk Lamp,3988.06,KES,"Dimmable, USB port, 5 brightness levels",Pacific Imports Inc | Margin 22% | Warehouse A-12
FR-O-0066,France,Audio,Bluetooth Speaker,42.06,EUR,"20W, waterproof IPX7, 15h playback",Warehouse A-12 | VIP margin 25% | EuroTech Suppliers
NE-P-0067,Netherlands,Home Appliances,Electric Fan Tower,49.0,EUR,"Oscillating, 3 speeds, remote, timer",Fulfilled from NL depot | EuroTech Suppliers | VIP margin 25%
NE-Q-0068,Netherlands,Personal Care,Electric Toothbrush,41.94,EUR,"Sonic, 3 modes, 2-week battery",Target margin 18% | Nordic Wholesale | Low stock alert
FR-R-0069,France,Kitchen Appliances,Smart Kettle Pro,43.37,EUR,"1.7L, 3000W, boil-dry protection, LED display",Backorder until 02/15 | Nordic Wholesale | Bulk discount applies 15%
GE-S-0070,Germany,Solar & Power,Solar Inverter TS-9000-X,1239.25,EUR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Nordic Wholesale | Backorder until 02/15 | Bulk discount applies 15%
CA-T-0071,Canada,Kitchen Appliances,Smart Kettle Pro,60.93,CAD,"1.7L, 3000W, boil-dry protection, LED display",Warehouse A-12 | Margin 22% | Global Sourcing Co
US-U-0072,United States,Audio,Wireless Bluetooth Earbuds,38.37,USD,"ANC, 24h battery, IPX5, USB-C",Global Sourcing Co | Target margin 18% | Fulfilled from NL depot
US-V-0073,United States,Personal Care,Electric Toothbrush,44.57,USD,"Sonic, 3 modes, 2-week battery",Africa Direct Trading | Target margin 18% | Fulfilled from NL depot
GE-W-0074,Germany,Lighting,LED Desk Lamp,25.14,EUR,"Dimmable, USB port, 5 brightness levels",Target margin 18% | Acme Electronics Ltd | Warehouse A-12
CD-X-0075,Côte d'Ivoire,Home Appliances,Air Purifier Compact,65343.84,XOF,"HEPA H13, 3 speeds, 25m² coverage",Pacific Imports Inc | Low stock alert | Promo margin 12%
SA-Y-0076,South Africa,Audio,Bluetooth Speaker,835.64,ZAR,"20W, waterproof IPX7, 15h playback",Stock in WH3 Berlin | Pacific Imports Inc | Margin 22%
US-Z-0077,United States,Kitchen Appliances,Coffee Maker Drip,37.32,USD,"12-cup, programmable, thermal carafe",Warehouse A-12 | Global Sourcing Co | Target margin 18%
KE-A-0078,Kenya,Computing,Mechanical Keyboard,10809.79,KES,"Cherry MX, RGB, wired, UK layout",VIP margin 25% | Low stock alert | EuroTech Suppliers
US-B-0079,United States,Wearables,Smart Watch Sport,90.72,USD,"GPS, heart rate, 5ATM, 7-day battery",Acme Electronics Ltd | Margin 22% | Stock in WH3 Berlin
US-C-0080,United States,Audio,Bluetooth Speaker,46.32,USD,"20W, waterproof IPX7, 15h playback",Acme Electronics Ltd | Stock in WH3 Berlin | Margin 22%
CA-D-0081,Canada,Computing,Mechanical Keyboard,112.94,CAD,"Cherry MX, RGB, wired, UK layout",Margin 22% | Global Sourcing Co | Low stock alert
FR-E-0082,France,Computing,Mechanical Keyboard,78.36,EUR,"Cherry MX, RGB, wired, UK layout",Backorder until 02/15 | EuroTech Suppliers | Bulk discount applies 15%
NI-F-0083,Nigeria,Personal Care,Electric Toothbrush,74371.83,NGN,"Sonic, 3 modes, 2-week battery",EuroTech Suppliers | Bulk discount applies 15% | Low stock alert
GE-G-0084,Germany,Personal Care,Electric Toothbrush,42.72,EUR,"Sonic, 3 modes, 2-week battery",Nordic Wholesale | Low stock alert | Margin 22%
CA-H-0085,Canada,Power & Batteries,Portable Power Bank 20K,33.1,CAD,"20000mAh, dual USB, 18W PD",Promo margin 12% | Africa Direct Trading | Backorder until 02/15
SA-I-0086,South Africa,Kitchen Appliances,Smart Kettle Pro,846.96,ZAR,"1.7L, 3000W, boil-dry protection, LED display",Warehouse A-12 | Acme Electronics Ltd | Bulk discount applies 15%
US-J-0087,United States,Computing,Mechanical Keyboard,81.3,USD,"Cherry MX, RGB, wired, UK layout",Stock in WH3 Berlin | Pacific Imports Inc | Bulk discount applies 15%
NI-K-0088,Nigeria,Computing,Mechanical Keyboard,123105.54,NGN,"Cherry MX, RGB, wired, UK layout",EuroTech Suppliers | VIP margin 25% | Low stock alert
NI-L-0089,Nigeria,Computing,Mechanical Keyboard,113898.99,NGN,"Cherry MX, RGB, wired, UK layout",Backorder until 02/15 | Promo margin 12% | Acme Electronics Ltd
UK-M-0090,United Kingdom,Computing,"Tablet 10""",175.92,GBP,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Pacific Imports Inc | Fulfilled from NL depot | Target margin 18%
NE-N-0091,Netherlands,Lighting,LED Desk Lamp,25.43,EUR,"Dimmable, USB port, 5 brightness levels",EuroTech Suppliers | VIP margin 25% | Stock in WH3 Berlin
CA-O-0092,Canada,Computing,"Tablet 10""",276.7,CAD,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Warehouse A-12 | Nordic Wholesale | VIP margin 25%
US-P-0093,United States,Solar & Power,Solar Inverter TS-9000-X,1250.06,USD,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Target margin 18% | Fulfilled from NL depot | Nordic Wholesale
GE-Q-0094,Germany,Home Appliances,Electric Fan Tower,51.81,EUR,"Oscillating, 3 speeds, remote, timer",Africa Direct Trading | VIP margin 25% | Low stock alert
KE-R-0095,Kenya,Wearables,Fitness Tracker Band,4192.62,KES,"Steps, sleep, HR, 14-day battery",Stock in WH3 Berlin | EuroTech Suppliers | Margin 22%
NI-S-0096,Nigeria,Lighting,LED Desk Lamp,46294.6,NGN,"Dimmable, USB port, 5 brightness levels",Bulk discount applies 15% | Low stock alert | EuroTech Suppliers
GE-T-0097,Germany,Computing,"Tablet 10""",206.14,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Warehouse A-12 | Acme Electronics Ltd | Promo margin 12%
CA-U-0098,Canada,TV & Display,LED TV 55 inch,602.28,CAD,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Backorder until 02/15 | Promo margin 12% | Africa Direct Trading
US-V-0099,United States,Audio,Bluetooth Speaker,53.67,USD,"20W, waterproof IPX7, 15h playback",Low stock alert | Margin 22% | Pacific Imports Inc
CA-W-0100,Canada,Computing,"Tablet 10""",305.89,CAD,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Promo margin 12% | Backorder until 02/15 | Acme Electronics Ltd
GE-X-0101,Germany,Power & Batteries,Portable Power Bank 20K,22.16,EUR,"20000mAh, dual USB, 18W PD",Pacific Imports Inc | Warehouse A-12 | VIP margin 25%
CD-Y-0102,Côte d'Ivoire,Computing,Mechanical Keyboard,48280.48,XOF,"Cherry MX, RGB, wired, UK layout",Stock in WH3 Berlin | EuroTech Suppliers | Promo margin 12%
SA-Z-0103,South Africa,Kitchen Appliances,Coffee Maker Drip,660.49,ZAR,"12-cup, programmable, thermal carafe",Warehouse A-12 | Promo margin 12% | Global Sourcing Co
CD-A-0104,Côte d'Ivoire,TV & Display,LED TV 55 inch,303038.36,XOF,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Bulk discount applies 15% | Low stock alert | Acme Electronics Ltd
CA-B-0105,Canada,Wearables,Smart Watch Sport,138.43,CAD,"GPS, heart rate, 5ATM, 7-day battery",Nordic Wholesale | Fulfilled from NL depot | Promo margin 12%
CA-C-0106,Canada,Kitchen Appliances,Coffee Maker Drip,52.49,CAD,"12-cup, programmable, thermal carafe",Fulfilled from NL depot | Pacific Imports Inc | Bulk discount applies 15%
NE-D-0107,Netherlands,Computing,"Tablet 10""",206.57,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Margin 22% | Global Sourcing Co | Stock in WH3 Berlin
UK-E-0108,United Kingdom,TV & Display,LED TV 55 inch,380.22,GBP,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Fulfilled from NL depot | Bulk discount applies 15% | EuroTech Suppliers
SA-F-0109,South Africa,Home Appliances,Electric Fan Tower,979.78,ZAR,"Oscillating, 3 speeds, remote, timer",Stock in WH3 Berlin | Margin 22% | Nordic Wholesale
KE-G-0110,Kenya,Solar & Power,Solar Inverter TS-9000-X,150474.83,KES,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Promo margin 12% | Low stock alert | EuroTech Suppliers
GH-H-0111,Ghana,Home Appliances,Electric Fan Tower,687.61,GHS,"Oscillating, 3 speeds, remote, timer",Warehouse A-12 | Bulk discount applies 15% | Acme Electronics Ltd
CD-I-0112,Côte d'Ivoire,Kitchen Appliances,Smart Kettle Pro,29171.83,XOF,"1.7L, 3000W, boil-dry protection, LED display",Bulk discount applies 15% | Stock in WH3 Berlin | Nordic Wholesale
CD-J-0113,Côte d'Ivoire,Wearables,Fitness Tracker Band,17007.54,XOF,"Steps, sleep, HR, 14-day battery",Promo margin 12% | Warehouse A-12 | Africa Direct Trading
CD-K-0114,Côte d'Ivoire,Power & Batteries,Portable Power Bank 20K,15421.94,XOF,"20000mAh, dual USB, 18W PD",Target margin 18% | Nordic Wholesale | Low stock alert
US-L-0115,United States,Kitchen Appliances,Smart Kettle Pro,43.27,USD,"1.7L, 3000W, boil-dry protection, LED display",Backorder until 02/15 | Promo margin 12% | Nordic Wholesale
FR-M-0116,France,Computing,"Tablet 10""",181.0,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Bulk discount applies 15% | Backorder until 02/15 | Acme Electronics Ltd
GH-N-0117,Ghana,Wearables,Smart Watch Sport,1242.3,GHS,"GPS, heart rate, 5ATM, 7-day battery",Margin 22% | Low stock alert | EuroTech Suppliers
US-O-0118,United States,Audio,Wireless Bluetooth Earbuds,36.27,USD,"ANC, 24h battery, IPX5, USB-C",VIP margin 25% | Acme Electronics Ltd | Backorder until 02/15
KE-P-0119,Kenya,Computing,Mechanical Keyboard,9767.35,KES,"Cherry MX, RGB, wired, UK layout",Bulk discount applies 15% | Nordic Wholesale | Low stock alert
US-Q-0120,United States,Audio,Bluetooth Speaker,48.07,USD,"20W, waterproof IPX7, 15h playback",EuroTech Suppliers | Backorder until 02/15 | Promo margin 12%
GH-R-0121,Ghana,Computing,Mechanical Keyboard,965.78,GHS,"Cherry MX, RGB, wired, UK layout",Promo margin 12% | Global Sourcing Co | Warehouse A-12
US-S-0122,United States,Computing,Webcam HD Pro,62.57,USD,"1080p 60fps, built-in mic, auto-focus",Warehouse A-12 | Bulk discount applies 15% | EuroTech Suppliers
