Product_ID,Country,Category,Item_Name,Price_Local,Currency,Technical_Specs,Internal_Notes
CD-A-0000,Côte d'Ivoire,Power & Batteries,Portable Power Bank 20K,15011.91,XOF,"20000mAh, dual USB, 18W PD",EuroTech Suppliers | Warehouse A-12 | VIP margin 25%
KE-B-0001,Kenya,Audio,Wireless Bluetooth Earbuds,4558.24,KES,"ANC, 24h battery, IPX5, USB-C",Backorder until 02/15 | VIP margin 25% | Pacific Imports Inc
SA-C-0002,South Africa,Wearables,Smart Watch Sport,1714.29,ZAR,"GPS, heart rate, 5ATM, 7-day battery",VIP margin 25% | Pacific Imports Inc | Stock in WH3 Berlin
CD-D-0003,Côte d'Ivoire,Solar & Power,Solar Inverter TS-9000-X,774498.8,XOF,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Fulfilled from NL depot | Bulk discount applies 15% | Acme Electronics Ltd
CD-E-0004,Côte d'Ivoire,Home Appliances,Electric Fan Tower,30183.73,XOF,"Oscillating, 3 speeds, remote, timer",Backorder until 02/15 | Pacific Imports Inc | Bulk discount applies 15%
SA-F-0005,South Africa,Audio,Wireless Bluetooth Earbuds,717.27,ZAR,"ANC, 24h battery, IPX5, USB-C",Bulk discount applies 15% | Warehouse A-12 | Africa Direct Trading
GH-G-0006,Ghana,Home Appliances,Air Purifier Compact,1161.1,GHS,"HEPA H13, 3 speeds, 25m² coverage",VIP margin 25% | Stock in WH3 Berlin | Pacific Imports Inc
GH-H-0007,Ghana,Power & Batteries,Portable Power Bank 20K,325.48,GHS,"20000mAh, dual USB, 18W PD",Nordic Wholesale | Fulfilled from NL depot | Target margin 18%
CA-I-0008,Canada,Personal Care,Electric Toothbrush,58.75,CAD,"Sonic, 3 modes, 2-week battery",Warehouse A-12 | Pacific Imports Inc | Bulk discount applies 15%
GH-J-0009,Ghana,Audio,Bluetooth Speaker,635.42,GHS,"20W, waterproof IPX7, 15h playback",VIP margin 25% | Backorder until 02/15 | Pacific Imports Inc
FR-K-0010,France,Computing,Webcam HD Pro,54.82,EUR,"1080p 60fps, built-in mic, auto-focus",Fulfilled from NL depot | Target margin 18% | EuroTech Suppliers
SA-L-0011,South Africa,TV & Display,LED TV 55 inch,9111.95,ZAR,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Acme Electronics Ltd | Margin 22% | Low stock alert
SA-M-0012,South Africa,Home Appliances,Air Purifier Compact,1819.68,ZAR,"HEPA H13, 3 speeds, 25m² coverage",Backorder until 02/15 | Acme Electronics Ltd | Bulk discount applies 15%
GH-N-0013,Ghana,Audio,Wireless Bluetooth Earbuds,428.76,GHS,"ANC, 24h battery, IPX5, USB-C",Acme Electronics Ltd | Low stock alert | Target margin 18%
US-O-0014,United States,Kitchen Appliances,Coffee Maker Drip,38.67,USD,"12-cup, programmable, thermal carafe",Nordic Wholesale | Bulk discount applies 15% | Stock in WH3 Berlin
KE-P-0015,Kenya,Audio,Wireless Bluetooth Earbuds,4412.52,KES,"ANC, 24h battery, IPX5, USB-C",Warehouse A-12 | Nordic Wholesale | Promo margin 12%
SA-Q-0016,South Africa,Lighting,LED Desk Lamp,545.79,ZAR,"Dimmable, USB port, 5 brightness levels",Africa Direct Trading | Margin 22% | Low stock alert
KE-R-0017,Kenya,Audio,Wireless Bluetooth Earbuds,5024.75,KES,"ANC, 24h battery, IPX5, USB-C",Nordic Wholesale | Bulk discount applies 15% | Backorder until 02/15
CD-S-0018,Côte d'Ivoire,Lighting,LED Desk Lamp,16110.53,XOF,"Dimmable, USB port, 5 brightness levels",Africa Direct Trading | VIP margin 25% | Stock in WH3 Berlin
NI-T-0019,Nigeria,Wearables,Smart Watch Sport,139140.52,NGN,"GPS, heart rate, 5ATM, 7-day battery",Fulfilled from NL depot | Nordic Wholesale | VIP margin 25%
SA-U-0020,South Africa,Wearables,Smart Watch Sport,1584.21,ZAR,"GPS, heart rate, 5ATM, 7-day battery",Backorder until 02/15 | Target margin 18% | Acme Electronics Ltd
CA-V-0021,Canada,TV & Display,LED TV 55 inch,599.62,CAD,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Africa Direct Trading | Promo margin 12% | Low stock alert
NI-W-0022,Nigeria,Kitchen Appliances,Smart Kettle Pro,67692.68,NGN,"1.7L, 3000W, boil-dry protection, LED display",Warehouse A-12 | Margin 22% | Pacific Imports Inc
GE-X-0023,Germany,Personal Care,Electric Toothbrush,42.92,EUR,"Sonic, 3 modes, 2-week battery",Africa Direct Trading | Margin 22% | Warehouse A-12
KE-Y-0024,Kenya,Computing,Mechanical Keyboard,9513.0,KES,"Cherry MX, RGB, wired, UK layout",Bulk discount applies 15% | Warehouse A-12 | Acme Electronics Ltd
US-Z-0025,United States,Audio,Wireless Bluetooth Earbuds,37.18,USD,"ANC, 24h battery, IPX5, USB-C",VIP margin 25% | Backorder until 02/15 | Pacific Imports Inc
GE-A-0026,Germany,Kitchen Appliances,Coffee Maker Drip,34.52,EUR,"12-cup, programmable, thermal carafe",Low stock alert | Nordic Wholesale | Target margin 18%
GE-B-0027,Germany,Computing,"Tablet 10""",204.31,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",VIP margin 25% | Low stock alert | Nordic Wholesale
GE-C-0028,Germany,Computing,Webcam HD Pro,53.84,EUR,"1080p 60fps, built-in mic, auto-focus",Promo margin 12% | Pacific Imports Inc | Backorder until 02/15
GE-D-0029,Germany,Home Appliances,Electric Fan Tower,54.15,EUR,"Oscillating, 3 speeds, remote, timer",Africa Direct Trading | Stock in WH3 Berlin | Bulk discount applies 15%
SA-E-0030,South Africa,Computing,"Tablet 10""",3667.66,ZAR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Fulfilled from NL depot | Global Sourcing Co | Target margin 18%
CD-F-0031,Côte d'Ivoire,Audio,Bluetooth Speaker,28597.06,XOF,"20W, waterproof IPX7, 15h playback",Promo margin 12% | Low stock alert | Africa Direct Trading
CA-G-0032,Canada,Power & Batteries,Portable Power Bank 20K,35.77,CAD,"20000mAh, dual USB, 18W PD",Warehouse A-12 | Promo margin 12% | Pacific Imports Inc
UK-H-0033,United Kingdom,Lighting,LED Desk Lamp,23.43,GBP,"Dimmable, USB port, 5 brightness levels",Low stock alert | Promo margin 12% | EuroTech Suppliers
KE-I-0034,Kenya,Computing,Webcam HD Pro,7428.85,KES,"1080p 60fps, built-in mic, auto-focus",Acme Electronics Ltd | Promo margin 12% | Stock in WH3 Berlin
CA-J-0035,Canada,Wearables,Fitness Tracker Band,40.39,CAD,"Steps, sleep, HR, 14-day battery",EuroTech Suppliers | Warehouse A-12 | Margin 22%
NI-K-0036,Nigeria,Kitchen Appliances,Smart Kettle Pro,78833.1,NGN,"1.7L, 3000W, boil-dry protection, LED display",Africa Direct Trading | Warehouse A-12 | Target margin 18%
GE-L-0037,Germany,TV & Display,LED TV 55 inch,423.36,EUR,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Target margin 18% | Pacific Imports Inc | Stock in WH3 Berlin
SA-M-0038,South Africa,TV & Display,LED TV 55 inch,7953.41,ZAR,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Pacific Imports Inc | Stock in WH3 Berlin | Margin 22%
GE-N-0039,Germany,Personal Care,Electric Toothbrush,39.51,EUR,"Sonic, 3 modes, 2-week battery",Low stock alert | Pacific Imports Inc | Bulk discount applies 15%
UK-O-0040,United Kingdom,Wearables,Smart Watch Sport,79.83,GBP,"GPS, heart rate, 5ATM, 7-day battery",Fulfilled from NL depot | Target margin 18% | Global Sourcing Co
FR-P-0041,France,TV & Display,LED TV 55 inch,426.46,EUR,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Africa Direct Trading | Margin 22% | Fulfilled from NL depot
GE-Q-0042,Germany,Power & Batteries,Portable Power Bank 20K,23.83,EUR,"20000mAh, dual USB, 18W PD",VIP margin 25% | Global Sourcing Co | Stock in WH3 Berlin
