Product_ID,Country,Category,Item_Name,Price_Local,Currency,Technical_Specs,Internal_Notes
GE-A-0000,Germany,Wearables,Fitness Tracker Band,30.04,EUR,"Steps, sleep, HR, 14-day battery",Margin 22% | Pacific Imports Inc | Fulfilled from NL depot
CA-B-0001,Canada,Home Appliances,Air Purifier Compact,140.69,CAD,"HEPA H13, 3 speeds, 25m² coverage",Africa Direct Trading | Low stock alert | Target margin 18%
NE-C-0002,Netherlands,Personal Care,Electric Toothbrush,43.45,EUR,"Sonic, 3 modes, 2-week battery",Target margin 18% | Nordic Wholesale | Warehouse A-12
CA-D-0003,Canada,Kitchen Appliances,Smart Kettle Pro,63.1,CAD,"1.7L, 3000W, boil-dry protection, LED display",Margin 22% | Africa Direct Trading | Backorder until 02/15
GH-E-0004,Ghana,Personal Care,Electric Toothbrush,566.46,GHS,"Sonic, 3 modes, 2-week battery",Nordic Wholesale | Fulfilled from NL depot | Margin 22%
US-F-0005,United States,Home Appliances,Electric Fan Tower,54.58,USD,"Oscillating, 3 speeds, remote, timer",Warehouse A-12 | Target margin 18% | Acme Electronics Ltd
KE-G-0006,Kenya,Home Appliances,Air Purifier Compact,11828.65,KES,"HEPA H13, 3 speeds, 25m² coverage",Promo margin 12% | Warehouse A-12 | Global Sourcing Co
UK-H-0007,United Kingdom,Home Appliances,Electric Fan Tower,43.43,GBP,"Oscillating, 3 speeds, remote, timer",Nordic Wholesale | Target margin 18% | Low stock alert
NI-I-0008,Nigeria,Kitchen Appliances,Smart Kettle Pro,80027.98,NGN,"1.7L, 3000W, boil-dry protection, LED display",VIP margin 25% | Africa Direct Trading | Warehouse A-12
UK-J-0009,United Kingdom,Home Appliances,Air Purifier Compact,76.97,GBP,"HEPA H13, 3 speeds, 25m² coverage",Acme Electronics Ltd | Target margin 18% | Warehouse A-12
SA-K-0010,South Africa,Personal Care,Electric Toothbrush,843.04,ZAR,"Sonic, 3 modes, 2-week battery",Promo margin 12% | Acme Electronics Ltd | Backorder until 02/15
GE-L-0011,Germany,Computing,"Tablet 10""",208.85,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Fulfilled from NL depot | VIP margin 25% | Acme Electronics Ltd
UK-M-0012,United Kingdom,Computing,"Tablet 10""",159.41,GBP,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Global Sourcing Co | Low stock alert | Promo margin 12%
NE-N-0013,Netherlands,Kitchen Appliances,Coffee Maker Drip,37.79,EUR,"12-cup, programmable, thermal carafe",Nordic Wholesale | Stock in WH3 Berlin | Bulk discount applies 15%
GH-O-0014,Ghana,Home Appliances,Electric Fan Tower,678.98,GHS,"Oscillating, 3 speeds, remote, timer",VIP margin 25% | EuroTech Suppliers | Fulfilled from NL depot
GH-P-0015,Ghana,Audio,Bluetooth Speaker,647.07,GHS,"20W, waterproof IPX7, 15h playback",Warehouse A-12 | Target margin 18% | Pacific Imports Inc
NE-Q-0016,Netherlands,Kitchen Appliances,Smart Kettle Pro,42.86,EUR,"1.7L, 3000W, boil-dry protection, LED display",Africa Direct Trading | Stock in WH3 Berlin | Bulk discount applies 15%
SA-R-0017,South Africa,Personal Care,Electric Toothbrush,823.37,ZAR,"Sonic, 3 modes, 2-week battery",Low stock alert | Bulk discount applies 15% | Global Sourcing Co
US-S-0018,United States,Home Appliances,Electric Fan Tower,51.47,USD,"Oscillating, 3 speeds, remote, timer",Acme Electronics Ltd | Promo margin 12% | Fulfilled from NL depot
NI-T-0019,Nigeria,Kitchen Appliances,Smart Kettle Pro,68083.35,NGN,"1.7L, 3000W, boil-dry protection, LED display",VIP margin 25% | Stock in WH3 Berlin | Acme Electronics Ltd
US-U-0020,United States,Kitchen Appliances,Coffee Maker Drip,43.58,USD,"12-cup, programmable, thermal carafe",Low stock alert | Target margin 18% | EuroTech Suppliers
CA-V-0021,Canada,Personal Care,Electric Toothbrush,60.18,CAD,"Sonic, 3 modes, 2-week battery",Backorder until 02/15 | Target margin 18% | Africa Direct Trading
SA-W-0022,South Africa,Home Appliances,Electric Fan Tower,915.6,ZAR,"Oscillating, 3 speeds, remote, timer",Promo margin 12% | Nordic Wholesale | Fulfilled from NL depot
FR-X-0023,France,Lighting,LED Desk Lamp,25.34,EUR,"Dimmable, USB port, 5 brightness levels",Pacific Imports Inc | VIP margin 25% | Backorder until 02/15
UK-Y-0024,United Kingdom,Computing,Mechanical Keyboard,61.06,GBP,"Cherry MX, RGB, wired, UK layout",Pacific Imports Inc | Margin 22% | Stock in WH3 Berlin
KE-Z-0025,Kenya,Computing,Mechanical Keyboard,9945.14,KES,"Cherry MX, RGB, wired, UK layout",Warehouse A-12 | Margin 22% | Global Sourcing Co
KE-A-0026,Kenya,Solar & Power,Solar Inverter TS-9000-X,164998.69,KES,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Bulk discount applies 15% | Stock in WH3 Berlin | Africa Direct Trading
US-B-0027,United States,Kitchen Appliances,Coffee Maker Drip,43.02,USD,"12-cup, programmable, thermal carafe",Acme Electronics Ltd | Bulk discount applies 15% | Low stock alert
US-C-0028,United States,Home Appliances,Air Purifier Compact,104.03,USD,"HEPA H13, 3 speeds, 25m² coverage",Backorder until 02/15 | Africa Direct Trading | Promo margin 12%
SA-D-0029,South Africa,Power & Batteries,Portable Power Bank 20K,515.04,ZAR,"20000mAh, dual USB, 18W PD",VIP margin 25% | Low stock alert | EuroTech Suppliers
SA-E-0030,South Africa,Audio,Bluetooth Speaker,848.21,ZAR,"20W, waterproof IPX7, 15h playback",Low stock alert | Promo margin 12% | Pacific Imports Inc
GH-F-0031,Ghana,Audio,Bluetooth Speaker,652.37,GHS,"20W, waterproof IPX7, 15h playback",Margin 22% | Pacific Imports Inc | Backorder until 02/15
KE-G-0032,Kenya,Lighting,LED Desk Lamp,3784.87,KES,"Dimmable, USB port, 5 brightness levels",Nordic Wholesale | Margin 22% | Fulfilled from NL depot
NI-H-0033,Nigeria,Computing,Webcam HD Pro,90423.15,NGN,"1080p 60fps, built-in mic, auto-focus",Stock in WH3 Berlin | Promo margin 12% | EuroTech Suppliers
UK-I-0034,United Kingdom,Home Appliances,Air Purifier Compact,73.15,GBP,"HEPA H13, 3 speeds, 25m² coverage",Acme Electronics Ltd | Warehouse A-12 | Promo margin 12%
KE-J-0035,Kenya,Solar & Power,Solar Inverter TS-9000-X,157071.77,KES,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Nordic Wholesale | Warehouse A-12 | Target margin 18%
GE-K-0036,Germany,Computing,"Tablet 10""",208.86,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Warehouse A-12 | Acme Electronics Ltd | Margin 22%
UK-L-0037,United Kingdom,Wearables,Fitness Tracker Band,22.06,GBP,"Steps, sleep, HR, 14-day battery",Promo margin 12% | Low stock alert | Global Sourcing Co
GH-M-0038,Ghana,Home Appliances,Electric Fan Tower,690.78,GHS,"Oscillating, 3 speeds, remote, timer",Fulfilled from NL depot | Promo margin 12% | Pacific Imports Inc
FR-N-0039,France,Home Appliances,Electric Fan Tower,52.27,EUR,"Oscillating, 3 speeds, remote, timer",Low stock alert | Promo margin 12% | Pacific Imports Inc
NE-O-0040,Netherlands,Audio,Wireless Bluetooth Earbuds,31.63,EUR,"ANC, 24h battery, IPX5, USB-C",Acme Electronics Ltd | Fulfilled from NL depot | VIP margin 25%
UK-P-0041,United Kingdom,Home Appliances,Electric Fan Tower,40.43,GBP,"Oscillating, 3 speeds, remote, timer",Bulk discount applies 15% | Low stock alert | EuroTech Suppliers
CA-Q-0042,Canada,Lighting,LED Desk Lamp,42.24,CAD,"Dimmable, USB port, 5 brightness levels",Africa Direct Trading | VIP margin 25% | Stock in WH3 Berlin
CA-R-0043,Canada,Kitchen Appliances,Coffee Maker Drip,49.16,CAD,"12-cup, programmable, thermal carafe",Target margin 18% | Global Sourcing Co | Stock in WH3 Berlin
KE-S-0044,Kenya,Computing,"Tablet 10""",26327.28,KES,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Bulk discount applies 15% | Fulfilled from NL depot | EuroTech Suppliers
SA-T-0045,South Africa,Home Appliances,Electric Fan Tower,891.7,ZAR,"Oscillating, 3 speeds, remote, timer",Acme Electronics Ltd | Target margin 18% | Warehouse A-12
UK-U-0046,United Kingdom,Power & Batteries,Portable Power Bank 20K,21.21,GBP,"20000mAh, dual USB, 18W PD",Margin 22% | Global Sourcing Co | Low stock alert
SA-V-0047,South Africa,Audio,Wireless Bluetooth Earbuds,640.87,ZAR,"ANC, 24h battery, IPX5, USB-C",Acme Electronics Ltd | Low stock alert | Margin 22%
US-W-0048,United States,Lighting,LED Desk Lamp,30.86,USD,"Dimmable, USB port, 5 brightness levels",Promo margin 12% | Backorder until 02/15 | Pacific Imports Inc
KE-X-0049,Kenya,Lighting,LED Desk Lamp,3642.75,KES,"Dimmable, USB port, 5 brightness levels",Backorder until 02/15 | Promo margin 12% | Africa Direct Trading
CA-Y-0050,Canada,Audio,Wireless Bluetooth Earbuds,49.38,CAD,"ANC, 24h battery, IPX5, USB-C",Margin 22% | Stock in WH3 Berlin | Global Sourcing Co
UK-Z-0051,United Kingdom,Wearables,Smart Watch Sport,72.75,GBP,"GPS, heart rate, 5ATM, 7-day battery",Pacific Imports Inc | Low stock alert | Target margin 18%
SA-A-0052,South Africa,Computing,"Tablet 10""",4070.19,ZAR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",EuroTech Suppliers | Warehouse A-12 | Promo margin 12%
KE-B-0053,Kenya,Wearables,Fitness Tracker Band,4265.1,KES,"Steps, sleep, HR, 14-day battery",Nordic Wholesale | Stock in WH3 Berlin | Margin 22%
US-C-0054,United States,Wearables,Fitness Tracker Band,30.47,USD,"Steps, sleep, HR, 14-day battery",Pacific Imports Inc | VIP margin 25% | Stock in WH3 Berlin
SA-D-0055,South Africa,Computing,"Tablet 10""",3650.81,ZAR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",VIP margin 25% | Stock in WH3 Berlin | Nordic Wholesale
CA-E-0056,Canada,Personal Care,Electric Toothbrush,64.29,CAD,"Sonic, 3 modes, 2-week battery",Global Sourcing Co | Margin 22% | Warehouse A-12
NE-F-0057,Netherlands,Computing,Webcam HD Pro,50.32,EUR,"1080p 60fps, built-in mic, auto-focus",Africa Direct Trading | VIP margin 25% | Fulfilled from NL depot
KE-G-0058,Kenya,Lighting,LED Desk Lamp,3849.79,KES,"Dimmable, USB port, 5 brightness levels",EuroTech Suppliers | Promo margin 12% | Fulfilled from NL depot
UK-H-0059,United Kingdom,Computing,Mechanical Keyboard,66.66,GBP,"Cherry MX, RGB, wired, UK layout",Warehouse A-12 | Global Sourcing Co | Target margin 18%
CA-I-0060,Canada,Lighting,LED Desk Lamp,41.13,CAD,"Dimmable, USB port, 5 brightness levels",Nordic Wholesale | Promo margin 12% | Fulfilled from NL depot
SA-J-0061,South Africa,Lighting,LED Desk Lamp,483.45,ZAR,"Dimmable, USB port, 5 brightness levels",Warehouse A-12 | Target margin 18% | Global Sourcing Co
KE-K-0062,Kenya,Power & Batteries,Portable Power Bank 20K,3208.54,KES,"20000mAh, dual USB, 18W PD",EuroTech Suppliers | Target margin 18% | Low stock alert
NE-L-0063,Netherlands,Computing,Mechanical Keyboard,69.03,EUR,"Cherry MX, RGB, wired, UK layout",Stock in WH3 Berlin | Promo margin 12% | Global Sourcing Co
NE-M-0064,Netherlands,Power & Batteries,Portable Power Bank 20K,23.03,EUR,"20000mAh, dual USB, 18W PD",Target margin 18% | Backorder until 02/15 | Acme Electronics Ltd
US-N-0065,United States,Audio,Wireless Bluetooth Earbuds,36.72,USD,"ANC, 24h battery, IPX5, USB-C",Nordic Wholesale | Margin 22% | Fulfilled from NL depot
KE-O-0066,Kenya,Audio,Bluetooth Speaker,6850.83,KES,"20W, waterproof IPX7, 15h playback",Promo margin 12% | Backorder until 02/15 | EuroTech Suppliers
NE-P-0067,Netherlands,Lighting,LED Desk Lamp,27.19,EUR,"Dimmable, USB port, 5 brightness levels",Nordic Wholesale | Stock in WH3 Berlin | Bulk discount applies 15%
GE-Q-0068,Germany,Kitchen Appliances,Coffee Maker Drip,39.86,EUR,"12-cup, programmable, thermal carafe",Margin 22% | Acme Electronics Ltd | Fulfilled from NL depot
NI-R-0069,Nigeria,Power & Batteries,Portable Power Bank 20K,37928.25,NGN,"20000mAh, dual USB, 18W PD",Low stock alert | EuroTech Suppliers | VIP margin 25%
KE-S-0070,Kenya,Wearables,Fitness Tracker Band,4179.25,KES,"Steps, sleep, HR, 14-day battery",Stock in WH3 Berlin | EuroTech Suppliers | Margin 22%
UK-T-0071,United Kingdom,Wearables,Fitness Tracker Band,23.5,GBP,"Steps, sleep, HR, 14-day battery",Bulk discount applies 15% | Backorder until 02/15 | EuroTech Suppliers
SA-U-0072,South Africa,Audio,Wireless Bluetooth Earbuds,627.97,ZAR,"ANC, 24h battery, IPX5, USB-C",Africa Direct Trading | VIP margin 25% | Stock in WH3 Berlin
NI-V-0073,Nigeria,Audio,Wireless Bluetooth Earbuds,53711.41,NGN,"ANC, 24h battery, IPX5, USB-C",Africa Direct Trading | Target margin 18% | Backorder until 02/15
NE-W-0074,Netherlands,Computing,Mechanical Keyboard,78.46,EUR,"Cherry MX, RGB, wired, UK layout",Stock in WH3 Berlin | Global Sourcing Co | VIP margin 25%
CA-X-0075,Canada,Computing,"Tablet 10""",274.57,CAD,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Global Sourcing Co | Margin 22% | Fulfilled from NL depot
NI-Y-0076,Nigeria,Audio,Bluetooth Speaker,78224.82,NGN,"20W, waterproof IPX7, 15h playback",Low stock alert | EuroTech Suppliers | Target margin 18%
US-Z-0077,United States,Audio,Wireless Bluetooth Earbuds,39.66,USD,"ANC, 24h battery, IPX5, USB-C",Promo margin 12% | Africa Direct Trading | Low stock alert
GE-A-0078,Germany,Computing,Webcam HD Pro,58.05,EUR,"1080p 60fps, built-in mic, auto-focus",Backorder until 02/15 | Acme Electronics Ltd | Promo margin 12%
