Product_ID,Country,Category,Item_Name,Price_Local,Currency,Technical_Specs,Internal_Notes
NG-K-3001,Nigeria,Kitchen,Double Door Fridge,1794768,NGN,Model: Double Rev-9; Power: 793W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 10%; Batch: B-667; Location: Nigeria.
GH-A-3002,Ghana,Automotive,Luxury Coupe,13439,GHS,Model: Luxury Rev-2; Power: 2393W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 31%; Batch: B-282; Location: Ghana.
NG-F-3003,Nigeria,Furniture,Outdoor Patio Set,2983608,NGN,Model: Outdoor Rev-3; Power: 158W; Condition: New,[LEGAL] Supplier: GlobalTrade; Margin: 20%; Batch: B-372; Location: Nigeria.
NL-E-3004,Netherlands,Electronics,Wireless Noise-Canceling Headphones,426,EUR,Model: Wireless Rev-2; Power: 528W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 17%; Batch: B-473; Location: Netherlands.
CM-F-3005,Cameroon,Furniture,Wardrobe Classic,2362135,XAF,Model: Wardrobe Rev-6; Power: 1100W; Condition: Refurbished,[SECURITY] Supplier: GlobalTrade; Margin: 26%; Batch: B-393; Location: Cameroon.
IC-A-3006,Ivory Coast,Automotive,City Hybrid Compact,1988939,XOF,Model: City Rev-8; Power: 1140W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 16%; Batch: B-561; Location: Ivory Coast.
NL-E-3007,Netherlands,Electronics,Digital Camera 4K,2757,EUR,Model: Digital Rev-6; Power: 1222W; Condition: New,[LEGAL] Supplier: GlobalTrade; Margin: 19%; Batch: B-151; Location: Netherlands.
RW-E-3008,Rwanda,Electronics,Wireless Noise-Canceling Headphones,1654139,RWF,Model: Wireless Rev-5; Power: 1707W; Condition: New,[LEGAL] Supplier: GlobalTrade; Margin: 15%; Batch: B-107; Location: Rwanda.
CM-F-3009,Cameroon,Furniture,Coffee Table Glass,1515378,XAF,Model: Coffee Rev-3; Power: 1592W; Condition: Refurbished,[SECURITY] Supplier: GlobalTrade; Margin: 4%; Batch: B-808; Location: Cameroon.
NG-E-3010,Nigeria,Electronics,Nova Phone Z,3802701,NGN,Model: Nova Rev-5; Power: 175W; Condition: Refurbished,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 29%; Batch: B-299; Location: Nigeria.
UG-F-3011,Uganda,Furniture,Outdoor Patio Set,18081799,UGX,Model: Outdoor Rev-3; Power: 686W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 21%; Batch: B-593; Location: Uganda.
